ACCELEROMETER X (m/s2),ACCELEROMETER Y (m/s2),ACCELEROMETER Z (m/s2),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (T),MAGNETIC FIELD Y (T),MAGNETIC FIELD Z (T),LABEL,SUBJECT
-8.673,-3.571,3.1101,0.3077,-0.044,0.2168,43.1,10.77,33.98,1,1
-8.6526,-3.1891,3.2633,-0.3386,0.1613,-0.041,43.6,10.6,33.2,1,1
-8.4563,-3.3806,3.1436,0.3621,0.1002,0.0519,44.3,8.5,33.3,1,1
-9.0716,-2.7653,2.964,0.0597,0.1423,0.2113,43.7,8.5,34.2,1,1
-7.8243,-3.5997,2.4217,0.6425,0.3781,-0.1589,44,6.8,34.3,1,1
-7.7345,-3.814,3.2322,1.4684,0.5571,-0.0037,40.86,12.76,34.68,1,1
-12.7443,2.5031,-0.9074,1.5997,-0.5705,1.127,35.73,25.27,22.25,1,1
-15.3229,-4.0342,1.5862,2.5209,-0.3586,-1.6164,28.38,29.28,20.88,1,1
-3.2525,-1.8639,-0.9936,-0.801,0.9444,-0.1454,28.57,22.54,29.14,1,1
-7.4974,-0.0012,1.7238,-3.413,-1.6029,1.8832,27.32,21.38,28.07,1,1
-7.0785,-0.3412,-4.4652,-3.7521,-0.0409,-0.2536,27.73,3.42,37.63,1,1
-16.429,-0.5399,7.0102,-1.2316,-1.3555,-0.5975,33.01,-21.27,20.77,1,1
-1.1265,-4.3958,-1.0846,-0.8749,-1.1209,-0.961,24.76,-29.5,0.61,1,1
-12.3589,3.3818,-1.2701,-1.4198,0.2774,3.0763,26.79,-29.44,1.21,1,1
-10.9164,3.7062,-1.5945,0.9889,0.8931,-0.4087,39.03,-22.98,11.44,1,1
-21.7274,-4.9213,4.7561,1.1153,-1.799,-2.6243,35.76,-30.96,16.1,1,1
-11.0026,-4.7357,-0.158,1.4476,-0.1051,-1.2181,43.1,-10.9,33.55,1,1
-8.3055,-4.531,3.3255,-0.2872,-0.2095,0.1264,36.4,15.83,39.92,1,1
-8.1977,-5.3929,2.1584,0.1141,-0.2034,0.1777,37.2,14,39.8,1,1
-8.4479,-4.8495,2.1883,-0.1901,-0.2346,0.102,38.1,13.8,39.1,1,1
-8.2803,-4.8483,2.3739,0.5063,0.4343,0.0622,37.8,14.1,39,1,1
-11.5843,0.322,2.1895,1.863,1.069,0.846,32.09,21.72,37.28,1,1
-9.0273,-4.7309,1.6364,1.5179,-0.4557,-1.3537,30.7,24.3,33.1,1,1
-0.6129,-2.624,1.3982,-0.6031,1.843,-0.4765,34.58,20.82,23.78,1,1
3.2932,-4.7046,1.2438,1.1177,1.2132,-2.3727,28.95,21.74,24.96,1,1
-11.3916,-4.9273,0.5339,-1.8792,0.7312,1.0421,28.5,9.65,32.81,1,1
-21.203,-2.7043,1.9381,-2.2377,-0.1722,1.3096,29.04,-19.26,29.01,1,1
-6.3662,4.2054,-4.5131,-0.9513,1.6811,0.262,32.83,-24.24,12.74,1,1
-6.3027,12.6103,-1.136,0.3432,1.6799,2.3218,34.07,-21.95,2.39,1,1
-7.0641,8.6167,-3.6296,1.67,1.73,-3.1167,27.08,-31.76,-0.83,1,1
-20.7805,-0.1149,4.2952,1.9271,-1.0452,-1.1124,32.14,-34.23,15.17,1,1
-1.075,-4.5023,0.0611,4.0658,-2.8594,-1.2145,34.82,-12.92,42.95,1,1
-11.1462,-3.802,3.0634,0.6168,-0.5327,1.612,33.35,17.63,36.7,1,1
-11.5843,4.0618,-4.0342,-2.2512,-2.2339,2.8154,25.17,30.22,22.73,1,1
-5.697,6.9923,-2.5702,-1.6476,1.6646,1.0812,23.72,31.43,14.85,1,1
-3.6021,5.4947,-0.2466,1.6107,-1.4948,-0.2976,27.1,24.94,20.7,1,1
-18.3456,2.545,-0.7422,-1.6312,-1.0537,0.642,28.16,9.4,32.24,1,1
-9.1961,-1.5443,0.9661,-2.1131,-0.1576,-0.7026,27.77,-15.4,33.03,1,1
-5.2098,0.5662,-2.0231,-2.4137,1.7966,1.3408,33.22,-23.1,13.14,1,1
-18.7262,1.5024,12.8221,1.9284,0.8766,-0.8125,25.95,-24.88,-2.36,1,1
0.5076,-3.9217,1.1277,0.5362,0.0556,-0.5651,29.96,-22.16,-5.67,1,1
-0.1257,-2.0842,0.4334,-0.5664,0.2596,1.328,29.69,-26.47,-3.04,1,1
-7.689,-0.6117,-2.2087,-0.137,1.0305,-1.1784,34.87,-30.49,11.77,1,1
-14.8608,0.5112,5.7114,2.2026,0.6133,-2.4741,37.83,-18.9,33.58,1,1
-1.3767,-1.5383,-0.2957,2.4311,-1.6414,-1.1247,33.82,-0.9,44.04,1,1
-30.4195,4.118,-8.2373,-1.9574,-0.6988,1.6255,29.89,27.24,26.02,1,1
2.5905,4.8064,-3.3411,0.805,0.7563,-1.4551,30.71,27.76,15.57,1,1
-8.436,3.7577,1.257,1.8599,0.8662,-0.4338,30.31,23.07,23.37,1,1
2.4876,-1.7693,0.5411,-0.9091,-0.4288,0.1691,28.94,18,29.71,1,1
-5.6802,-0.085,-0.085,-2.5517,-0.5235,0.7342,27.99,-2.57,35.58,1,1
-22.2505,-1.2163,-1.1648,-2.7264,-0.3219,2.2223,26.41,-27.93,17,1,1
-8.2073,8.1618,-5.1763,-0.8126,1.7556,1.6077,32.76,-23.16,6.27,1,1
-8.3941,7.6112,1.3264,-0.3923,0.5846,1.8356,29.99,-23.86,-3.33,1,1
-3.1687,3.5039,0.6512,1.1813,1.4496,-1.4167,24.53,-34.16,2.4,1,1
-20.4872,0.5495,2.9197,2.9326,-2.1117,-2.0587,32.56,-3.12,41.09,1,1
-3.8032,-8.0074,2.8204,2.6675,-0.7972,-2.7135,28.58,20.18,31.75,1,1
0.7207,-4.7704,2.2601,-0.5285,0.0971,-0.3336,33.59,17.17,26.92,1,1
-17.668,-2.5462,3.6081,-3.0777,-3.1948,1.7311,31.29,13.97,25.47,1,1
-7.0042,0.3448,-1.0738,-1.8004,0.1979,0.5112,25.99,-7.42,36.24,1,1
-8.1247,0.7159,0.1389,-2.5597,-0.4581,-1.526,26.21,-27.62,12.11,1,1
-3.0646,-5.9616,3.4979,1.3578,-0.3036,-2.4441,18.72,-29.7,-2.29,1,1
-11.8178,-2.1416,4.4365,-0.8566,-1.1557,0.882,20.94,-26.05,-6.92,1,1
-8.582,1.1696,2.8108,0.21,0.6219,-0.6409,20.1,-27,-7.6,1,1
-10.1957,-2.0363,-0.3998,-0.3074,-0.036,0.6151,24.6,-28.3,-3.3,1,1
-21.4736,20.146,-0.3879,-1.4192,1.7721,0.7892,27.11,-28.9,-2.01,1,1
-2.4277,-3.5219,3.3818,0.9357,-0.27,1.8179,28.72,-30.7,0.29,1,1
-9.8055,3.3184,1.1648,-0.1907,-0.5889,1.4025,19.4,-39.22,11.17,1,1
-8.0086,1.069,2.2577,3.6388,0.4124,1.7293,35.84,-10.42,38.16,1,1
-10.1251,-0.2466,1.8375,0.3652,-0.7709,-0.8113,33.9,9.4,37.54,1,1
-2.4457,5.1655,0.7195,1.0756,0.7593,0.3445,24.45,29.25,19.74,1,1
-23.0358,-3.2477,4.3646,0.0835,-0.9835,-1.7722,31,22.44,18.44,1,1
-15.6401,-3.2334,1.4581,-2.782,-0.9303,0.5314,26.22,24.54,17.2,1,1
-5.794,0.8811,1.7095,-2.2219,-0.2999,0.9486,29.04,8.34,30.1,1,1
-11.0971,-2.5977,-0.5902,-1.3868,-0.281,0.3048,26.28,-17.01,32.16,1,1
-10.0736,-2.1584,3.5614,-1.118,-0.4221,0.5546,24.89,-28.22,12.45,1,1
-15.342,0.0814,0.3448,-2.1504,0.7972,1.2846,22.9,-29.02,4.61,1,1
-5.0518,3.9624,1.7346,-0.5548,1.7544,1.4422,21.03,-28.74,-1.8,1,1
-20.152,2.2278,0.5351,-0.0502,-0.6072,-2.052,22.54,-28.8,-4.35,1,1
-15.6437,-2.4541,2.6133,2.0212,-0.2761,-0.8192,16.13,-33.33,-6.92,1,1
-4.5933,-3.2477,0.5926,2.9009,-0.1228,0.0458,26.29,-29.76,32.94,1,1
-12.8605,4.5861,0.0934,0.9681,2.2908,1.3451,27.24,13.95,39.75,1,1
-7.5322,15.4821,-0.99,1.9113,2.4783,-0.9194,25.09,26.24,24.49,1,1
-10.2232,7.6614,7.6483,-0.1077,2.1649,0.4721,25.65,25.53,19.16,1,1
-15.7431,2.8204,-0.0347,-2.4442,0.5913,-0.6574,31.68,5.93,27.68,1,1
-1.8806,-2.4541,1.4305,-2.2842,0.2877,1.1765,21.88,-30.58,17.17,1,1
-23.5745,-0.3136,-4.0127,-2.2408,-1.1869,2.6896,25.05,-28.58,3.62,1,1
-3.7026,5.7197,-1.3372,-0.3685,0.4667,0.4465,26.66,-26.48,-0.7,1,1
-16.9557,6.201,2.7294,1.7194,-0.9273,-0.7691,24.37,-30.57,-1.69,1,1
-3.7541,-6.863,3.8702,2.2912,-0.325,-2.6476,19.89,-36.12,2.34,1,1
-0.5375,-4.9907,0.2442,3.1678,0.7868,0.3701,27.23,-25.4,38.03,1,1
-21.306,-0.6249,1.2342,-0.8303,-1.1618,3.039,32.24,17.88,30.2,1,1
-6.8893,3.1903,0.4705,-0.2872,-0.1979,1.8368,25.46,26.66,24.06,1,1
-13.6805,4.8602,5.1811,0.1068,-0.8839,-1.9218,27.93,23.63,17.65,1,1
2.8695,-2.3727,-0.0395,-1.1858,0.945,-0.7844,27.99,5.57,35.15,1,1
-14.8225,2.7785,-0.8164,-2.9109,-0.2291,1.634,21.06,-27.38,26.42,1,1
-3.3184,3.6751,-2.2374,-1.7277,2.1136,0.4208,29.33,-26.45,7.45,1,1
-11.6382,7.4304,-0.4824,1.2161,0.0422,-0.5059,28.15,-26.37,-0.16,1,1
-19.7713,-0.6201,2.563,0.9681,-0.7617,-2.4276,20.77,-27.76,-9.61,1,1
2.2314,-7.8374,4.2784,1.3548,-0.7092,1.2773,16.79,-40.09,9.45,1,1
-25.0422,-1.8663,0.9493,2.9687,-0.7141,2.929,30.5,-9.29,44.34,1,1
-8.6323,-0.7566,4.2808,-0.1503,-0.0172,-0.0512,29.2,31,-1.7,2,1
-8.582,-1.6448,4.61,0.0623,0.1405,-0.1984,28.9,31.1,-2,2,1
-8.3617,-1.0834,4.7597,0.1118,0.1496,0.0288,28,31.6,-1.8,2,1
-8.4707,-1.1815,4.7513,-0.1301,-0.0385,-0.061,27.6,31.6,-2.3,2,1
-8.3941,-1.1588,4.8183,-0.0446,0.1087,0.0038,27.5,31.9,-2.7,2,1
-8.758,-0.6189,4.4784,0.1173,0.4825,0.2011,28.2,31.3,-1.2,2,1
-8.9567,-0.4046,3.7541,-0.0788,-0.2242,0.0655,29.7,30.6,0.6,2,1
-10.3825,-0.2562,4.2641,0.9053,0.2981,-0.2858,29.3,30.6,1.3,2,1
-8.6191,0.6033,4.5047,0.1979,0.2614,0.0032,26.5,31.6,-3,2,1
-8.2217,-0.4489,2.6719,-0.7526,-0.0178,-0.6358,28.08,29.09,-2.35,2,1
-6.3997,-0.9864,4.148,0.8637,-0.427,-0.5613,26.9,29.4,1.1,2,1
-10.094,1.6412,5.9089,-0.3378,0.0421,0.1925,24.7,29.2,-4.9,2,1
-9.5481,0.4046,3.4608,-0.3219,-0.245,-0.612,25.25,27.11,0.9,2,1
-5.7042,0.182,5.0601,-0.6506,0.237,-0.1367,22.6,28.1,3.3,2,1
-11.7555,-1.1768,3.2705,-0.3507,-1.0349,0.6751,25.14,24.2,7.35,2,1
-9.0118,-0.7649,3.8798,-1.0941,0.35,0.206,28.29,15.23,13.11,2,1
-7.8913,-0.6764,4.8183,-1.2077,0.7043,0.4021,30.51,4.73,16.77,2,1
-9.7037,-1.9525,4.2294,-1.1081,-0.2652,0.7368,23.38,-24.94,16.05,2,1
-9.3338,0.1113,3.0586,-0.1876,0.2467,0.096,20.09,-29.04,14.8,2,1
-9.3529,-0.012,3.2094,-0.0666,-0.0501,0.0319,18.9,-31.5,13.4,2,1
-8.4946,0.0144,2.7294,-0.1295,0.05,-0.1654,18.5,-32.3,11.7,2,1
-9.1303,-0.079,3.9073,-0.1216,0.0452,0.1015,18.4,-32.1,10.6,2,1
-10.404,-0.2155,0.8428,0.0971,0.1618,-0.3682,18.5,-31,9.8,2,1
-9.5158,-1.1384,3.5662,-0.694,-0.7532,0.7136,29.09,-29.85,-2.72,2,1
-10.7571,2.4217,3.5219,-0.6005,0.5253,-0.312,25.74,-32.84,-4.33,2,1
-8.5712,-0.0024,1.0451,-0.1381,0.2583,-0.2393,28.33,-31.44,-6.14,2,1
-7.8506,0.7685,5.3798,0.8576,0.361,0.4803,33.1,-29.5,-5.4,2,1
-9.2153,-2.5977,0.17,-0.5718,0.5314,-0.1172,30.2,-34,-4.1,2,1
-11.1558,0.3843,1.5622,0.1985,0.0061,-0.0549,35.19,-32.22,-3.44,2,1
-8.4348,1.5419,1.4066,-0.5718,0.5894,0.0203,33.43,-34.75,-2.47,2,1
-9.8761,-0.8176,0.2298,0.1246,0.4355,-0.2949,32.5,-35.7,-5.5,2,1
-10.1035,0.1389,0.6764,0.314,-0.8913,0.217,37.3,-33.2,-7.8,2,1
-9.5421,1.9836,2.1416,-2.2798,0.645,0.7771,29.18,-26.91,-27.57,2,1
-9.8019,0.0108,-0.0994,-1.9542,0.094,0.0148,38.7,17.4,-23.73,2,1
-10.0102,-1.5048,2.3774,-0.2486,-0.7465,-0.0512,34.68,27.28,-12.8,2,1
-10.9247,1.488,3.9732,-0.8125,0.1246,0.0258,36.13,25.67,-10.41,2,1
-9.5924,0.1927,0.7159,-0.1643,0.0299,-0.2998,36.48,25.96,0.1,2,1
-9.4499,-1.5718,2.0051,-0.4191,-1.0178,1.2811,33.6,27.7,2,2,1
-10.5776,3.3782,4.373,-0.3794,-0.1766,0.1785,37.2,23.2,-0.5,2,1
-9.6019,0.9158,0.9972,0.628,-0.0013,-0.3969,36.1,21.9,6.8,2,1
-7.8195,1.4102,2.9928,-0.0507,-0.0251,0.2487,33.34,22.96,0.95,2,1
-7.9487,0.3627,0.3208,-0.7386,0.2193,-0.1269,33.8,21.7,-0.2,2,1
-10.6829,1.1744,0.7171,-0.2517,-0.1656,-0.0335,31.63,21.21,9.38,2,1
-8.4491,0.9098,2.1261,-1.2663,0.4178,0.5566,33.99,16.15,12.45,2,1
-10.0066,0.4178,0.3831,-1.8638,0.6908,-0.1147,31.5,-11.14,25.77,2,1
-10.076,0.7027,0.4094,-1.2779,-0.1369,0.1931,29.51,-29.03,12.84,2,1
-8.8107,0.3472,4.3024,-1.0904,0.2321,1.019,23.46,-32.88,-5.95,2,1
-6.772,0.3148,1.1085,0.1503,0.1557,0.1699,21.2,-33.5,-8.6,2,1
-9.9886,0.6823,1.0391,0.2126,0.0348,-0.3017,29.77,-32.04,-1.43,2,1
-7.2269,0.723,0.085,0.0299,0.1643,0.1131,32.4,-31.2,1.8,2,1
-8.1894,-0.9062,0.832,-0.0611,0.3714,-0.5863,30.3,-34.7,2,2,1
-9.9599,-0.1137,0.006,0.1429,-0.1405,-0.2723,36.7,-31.6,0.3,2,1
-8.0816,1.8651,1.16,-0.8479,0.2748,0.0374,30.62,-36.96,0.02,2,1
-9.73,-1.0391,-0.3819,0.7049,0.3811,-0.3261,29,-37.8,-4.1,2,1
-9.9958,1.8663,0.085,1.4007,-0.322,-0.5588,35.08,-36.38,0.51,2,1
-9.1734,-0.5902,2.3296,2.9749,-0.4906,-1.4513,44.32,-27.18,15.56,2,1
-10.9894,1.6903,2.9377,1.9835,0.7324,-0.4067,44.11,14.78,18.87,2,1
-10.0317,1.008,1.0882,0.6365,0.0946,-0.3071,42.08,19.74,16.58,2,1
-9.3781,-1.4653,2.0985,-0.3116,-1.0428,1.0838,39.16,24.61,6.69,2,1
-9.8414,3.4656,3.7278,-0.2004,0.0305,0.3031,41.87,21.58,1.76,2,1
-9.347,1.2941,1.901,0.6542,0.1765,-0.5759,41.83,19.96,6.09,2,1
-9.098,1.1337,6.1914,-0.9444,-0.6433,1.0245,36.37,24.49,4.59,2,1
-10.9032,0.425,0.9517,-0.1167,0.0366,0.2524,38.9,20.7,1.8,2,1
-9.7564,0.7338,0.9589,0.2914,0.2034,-0.2485,35.58,20.69,10.03,2,1
-9.1183,0.9026,5.4312,0.4117,-0.2029,0.5041,33.28,22.06,5.23,2,1
-11.3473,0.4968,0.4992,-0.8094,0.1166,0.388,34.84,20.24,5.85,2,1
-9.9814,1.4293,1.4329,-0.9951,-0.0801,0.2048,33.53,13.26,19.65,2,1
-8.9531,1.4257,2.0004,-1.2627,0.0665,0.6916,36.63,0.54,20.96,2,1
-10.3334,1.6245,0.401,-2.1063,0.3219,0.3856,27.34,-30.57,14.6,2,1
-9.651,1.5119,0.4154,-0.6243,-0.066,-0.1636,24.8,-33.19,-1.66,2,1
-8.0541,0.8224,4.1934,0.1496,0.0726,0.4509,21.52,-33.14,-7.9,2,1
-11.1917,1.4916,3.9085,-0.716,1.0403,-0.1514,19.5,-33.5,-10.4,2,1
-9.657,0.6871,1.9309,0.3751,-0.2022,-0.3829,23.1,-30.5,-14.3,2,1
-7.3729,0.7518,2.6468,0.843,-0.1741,0.4943,25.3,-30,-14.1,2,1
-9.4499,0.2574,2.7043,-0.3055,0.9627,-0.2943,22.1,-33.8,-13.1,2,1
-10.3489,1.3563,1.7035,0.2339,0.0091,-0.2057,27.7,-31.9,-13.7,2,1
-8.0493,0.8224,3.9564,1.1625,0.0769,0.531,30.52,-32.4,-11.8,2,1
-7.6076,0.34,0.4417,-1.0318,0.1258,0.1406,26.9,-36.2,-10.3,2,1
-9.7073,1.6269,1.6017,1.3708,-0.5828,-0.5985,31.4,-34.4,-11.8,2,1
-9.3769,2.1272,4.5945,0.7397,0.2388,-0.9779,34.35,-36,-5.5,2,1
-8.7388,0.5459,3.0969,0.1148,-0.0275,0.2756,38.21,-34.58,12.76,2,1
-9.7049,-0.407,1.749,1.3811,-0.738,-0.188,46.99,0.25,25.38,2,1
-8.3366,1.2234,2.4612,0.8418,-0.2371,-0.4073,43.86,23.4,6.75,2,1
-9.3925,0.3017,0.7721,0.2187,0.2919,0.4228,41.7,24.7,6,2,1
-10.1359,1.2797,2.2517,1.405,-0.606,-0.7305,41,23.4,8.1,2,1
-9.517,2.4086,4.6747,-0.2828,0.4575,-0.4043,16.97,26.25,-6.05,2,1
-9.4918,0.6548,1.415,-0.2828,0.5247,-0.488,13.9,27.34,2.62,2,1
-9.9934,-2.4014,0.7757,-0.2535,-0.8498,1.0148,2.84,29.33,5.81,2,1
-10.1586,2.7354,4.3455,0.0146,0.0299,0.1681,1.8,27.6,4.5,2,1
-9.6235,1.2354,2.0375,0.2602,-0.2279,-0.6523,0.71,25.7,11.9,2,1
-8.3689,-1.0894,2.387,0.2297,-0.3226,0.2536,-3.28,27.98,10.08,2,1
-10.5357,0.5112,0.2191,-0.2938,0.8497,0.0276,-1.29,25.74,8.25,2,1
-10.1646,1.4545,1.6424,-1.3971,-0.1528,0.2555,-1.17,13.48,22.67,2,1
-10.0904,1.2222,3.7266,-1.0495,0.0537,0.793,0.33,6.67,22.98,2,1
-10.2903,0.8356,1.8328,-1.5095,0.8869,0.7277,-7.03,-21.05,19.12,2,1
-9.5217,1.2665,1.1779,-1.2865,-0.1338,0.2023,-11.5,-27.38,1.9,2,1
-9.2775,-0.2454,3.0251,-0.5284,-0.4784,0.9867,-12,-27,-3.4,2,1
-10.568,2.885,5.4468,-0.281,0.2693,-0.0029,-15.6,-27.5,-7.6,2,1
-8.7736,1.2689,2.3475,-0.6084,0.5002,0.0588,-14.9,-26.5,-11.1,2,1
-8.7412,-1.3527,1.579,-0.8974,-0.3397,1.0123,-11.1,-25.2,-11,2,1
-9.5696,3.1412,4.063,-0.1161,0.0989,0.0661,-13.8,-27.7,-10.2,2,1
-8.819,1.5706,1.9046,-0.1704,-0.0941,-0.4788,-11.9,-28.3,-10,2,1
-9.347,-1.3276,0.1676,-0.9835,-0.6335,1.0569,-3.65,-26.9,-5.61,2,1
-11.9842,0.5088,1.4748,0.3567,0.3066,0.176,-7.45,-30.4,-4.03,2,1
-10.1047,0.6596,0.1484,0.127,-0.0825,-0.2393,-4.9,-30.5,-2.1,2,1
-9.4391,1.136,5.0039,0.8253,-0.176,0.2335,-1.5,-29.6,-0.8,2,1
-10.5297,-0.2191,1.227,0.347,0.5131,0.1437,-3.8,-32.6,0.7,2,1
-9.9276,0.9481,0.577,1.9224,-0.4454,-0.6437,3.61,-25.34,18.46,2,1
-8.6694,1.6819,3.9959,2.2205,-0.4729,-0.9027,14.25,2.36,21.74,2,1
-11.0516,1.2605,4.0402,0.7257,0.2382,-0.1728,11.48,24.97,10.63,2,1
-9.1482,1.3467,2.0458,0.4019,0.1991,-0.188,8.2,27.1,9.8,2,1
-9.317,-0.9469,1.2198,-0.4172,-0.5846,0.8419,3.27,30.46,0.58,2,1
-10.2376,2.3978,2.9233,-0.7563,0.0409,0.272,4.2,29,-2.3,2,1
-9.3434,0.668,1.7633,0.2602,-0.0049,-0.3786,3.96,27.72,6.1,2,1
-7.9918,-1.2115,2.5594,1.0409,-0.3605,0.0734,1.94,29.1,7.72,2,1
-10.483,-0.729,0.8236,-0.2761,0.7098,0.0527,3,26.8,2.5,2,1
-10.1275,1.2977,1.0247,0.0159,0.2235,-0.3493,0.31,25.71,9.82,2,1
-9.8497,1.4988,4.7896,0.7031,-0.0941,0.4974,-2.69,28.19,7.07,2,1
-11.2767,1.4736,-0.1568,-1.2303,-0.0379,-0.1795,-0.5,26,5.6,2,1
-10.0952,1.4317,1.0271,-1.1497,0.2235,0.0728,-0.43,21.44,17.34,2,1
-9.5026,-0.2741,2.6193,-0.9902,-0.2126,0.3966,2.31,13.16,19.83,2,1
-9.0692,-0.1712,1.7705,-1.2975,0.8411,-0.0652,-0.8,-10.53,24.16,2,1
-10.3513,0.7566,0.4908,-1.135,0.2968,0.0765,-6.34,-24.76,12.22,2,1
-10.1981,0.6464,1.5993,-0.0269,-0.3403,-0.017,-6.84,-26.6,1.43,2,1
-8.5377,2.3511,3.2465,-0.3134,0.0458,0.4442,-10.7,-27.25,-5.18,2,1
-8.2528,0.6967,2.6983,-0.4637,0.3518,-0.1917,-14.2,-27.2,-9.8,2,1
-9.9,0.0287,-0.3484,0.1686,-0.0355,-0.2155,-7.03,-23.81,-3.8,2,1
-7.2879,1.4054,1.7705,0.9309,-0.0489,0.3868,-7.26,-24.09,-4.2,2,1
-9.2237,0.9373,0.8859,-0.0306,0.1637,-0.2772,-12,-27.6,-5.5,2,1
-9.7851,2.5283,1.816,-0.1955,0.0299,-0.0677,-7.9,-26.8,-5.4,2,1
-7.1371,2.484,2.9748,-0.1472,0.5974,-0.0371,-10.53,-29.34,-5.41,2,1
-9.9407,0.1101,0.2646,-0.0984,0.9938,-0.1807,-11.4,-30.3,-5.5,2,1
-10.7356,2.2278,1.7538,1.4129,-0.4613,-0.5197,-4.7,-28.5,-4.3,2,1
-8.8801,2.5343,4.1156,0.2706,0.2767,-0.265,-3.62,-30.52,0.42,2,1
-9.9072,1.1803,2.7246,-0.033,0.1997,-0.1673,-1.7,-32,7,2,1
-9.086,0.334,1.6448,1.5882,-0.942,-0.3053,9.92,-14.64,27.44,2,1
-8.3007,1.3288,3.6081,1.4587,0.0128,-0.5161,15.77,13.97,22.6,2,1
-8.2815,0.5195,2.9544,0.3079,0.2895,0.352,13.17,20.31,18.81,2,1
-9.8078,1.8196,1.2833,0.6683,-0.1754,-0.3383,10.3,24.8,17.1,2,1
-7.6686,1.5239,2.0039,0.5375,-0.1088,0.7289,5.78,30.44,2.62,2,1
-7.1311,2.1308,2.4672,-0.6793,0.0103,0.3465,6.8,27.3,2.2,2,1
-10.337,1.9237,1.9273,-0.2309,-0.0672,-0.3585,4.58,28.79,9.65,2,1
-7.5262,0.7685,2.2637,0.1075,-0.1027,0.4955,2.32,30.07,7.88,2,1
-6.5853,1.4174,1.4341,-0.526,-0.2297,-0.0689,3.9,26.8,7.3,2,1
-10.4303,1.6412,1.5742,0.5485,-0.6549,-0.1477,0.4,28,11.4,2,1
-8.2983,2.6324,3.2813,-0.2841,0.229,0.261,-1.8,29.4,7.4,2,1
-10.6949,0.4752,1.0283,-0.8748,0.1374,-0.5216,-0.28,26.08,12.01,2,1
-10.6518,2.1129,1.1109,-0.4233,-0.2572,0.0276,0.2,23.2,15.6,2,1
-9.5253,1.6233,1.8806,-1.4502,0.9315,0.7197,3.74,5.76,21.2,2,1
-10.1251,0.255,0.3256,-1.0556,0.7043,0.0551,-3.75,-19.56,19.4,2,1
-9.8234,1.093,0.2634,-0.5492,-0.0227,-0.0335,-6.14,-25.85,5.87,2,1
-8.1247,1.6795,3.6081,-0.6255,0.16,0.8425,-6.94,-26.52,0.26,2,1
-10.3609,0.0299,1.8531,-0.1222,0.3964,0.0789,-17.01,-27,-5,2,1
-9.8258,0.8164,0.559,0.0397,-0.0709,-0.1776,-13.64,-24.13,-5.01,2,1
-9.1925,1.664,5.5366,-0.4411,-0.1748,0.253,-10.1,-23.5,-3.9,2,1
-11.4862,0.8344,1.6652,-0.6909,0.1172,0.052,-14.3,-26.5,-4.3,2,1
